Name,Priority,Stage,BD Contact,Sub-Category,Logo,Tagline,Description,Link to Project,Link to Twitter,Link to Discord,Logo Name,Available on Optimism Website?,Existing Submission that works or avail on the Dapp's Website?,"Require remediation?
(Resize or ask partner)",Requires square crop,Category,"Legal Comments
(Approved, Not Approved)",Notes (if not approved),"Compliance Comments
(Approved, Not Approved)",Compliance (if not approved)
Tally,2,Initiated,Viktoriya Hying,Social,https://drive.google.com/open?id=1YoP5pqjqTYWLgVQ_Qmbm4sZ__OZqxbNG,Leading DAO Operations platform,"Tally powers the largest DAOs in the Ethereum ecosystem. With Tally, you can decentralize your Protocol, project, L2 and more. Build on Tally for a robust decentralized ecosystem of tooling.",https://www.tally.xyz,https://twitter.com/tallyxyz,https://discord.com/invite/3wgMrqaCCk,Tally.xyz,No,https://drive.google.com/file/d/1yuwWhcxajeG_-hngcZ5FyY_r6qGTJc29/view?usp=sharing,No,,Social,,,,
Tenderly,3,Ready for Mainnet,Saemi Kim,Infrastructure - Security,https://drive.google.com/open?id=1Cm04TREjb42is0n5uWVLvC3iFbX-NOXI,Full stack web3 infrastructure,"Tenderly delivers a full-stack infrastructure solution for every step of the dapp development lifecycle. We enable teams to focus on their product by providing them with all necessary infrastructure and tooling for fast and reliable dapp development, testing, deployment, and monitoring.",https://tenderly.co/,https://twitter.com/TenderlyApp,https://discord.com/invite/fBvDJYR,Tenderly,https://drive.google.com/file/d/1iqNvdJKYMdokj2AYzJzr7iQFe6xdXvDb/view?usp=sharing,,No,,Infrastructure,,,,
The Graph,2,Ready for Mainnet,Viktoriya Hying,Infrastructure Other,https://drive.google.com/open?id=1A2sWfT8UNYGon1EwSeK2lWCJkS9TWJ3J,A web3 protocol for organizing and accessing blockchain data,"The Graph is the indexing and query layer of web3. Developers build and publish open APIs, called subgraphs, that applications can query using GraphQL. The Graph currently supports indexing data from over 40 different networks including Ethereum, NEAR, Arbitrum, Optimism, ZkSync, Polygon, Avalanche, Celo, Fantom, Moonbeam, IPFS, Cosmos Hub and PoA with more networks coming soon. To date, 88,900+ subgraphs have been deployed on the hosted service. Tens of thousands of developers use The Graph for applications such as Uniswap, Synthetix, KnownOrigin, Art Blocks, Gnosis, Balancer, Livepeer, DAOstack, Audius, Decentraland, and many others.

The Graph Network’s self service experience for developers launched in July 2021; since then over 800+ subgraphs have migrated to the Network, with 450+ Indexers serving subgraph queries, 11,300+ Delegators, and 2,500+ Curators to date. More than 5.6+ million GRT has been signaled to date.",https://thegraph.com/,https://twitter.com/graphprotocol,https://discord.com/invite/vtvv7FP,The Graph,https://drive.google.com/file/d/1zOOHkGrjBoJ2qAGikggHq56TqMMwBTQ7/view?usp=sharing,,No,,Infrastructure,,,,
ThirdWeb,1,Ready for Mainnet,Daryl Xu,Infrastructure Other,"https://drive.google.com/open?id=1q6RfX8wKAiPs5IpnV8Wj5rnSN1mxW_uE, https://drive.google.com/open?id=1SlNGXh2V3da7HCLVcz3tCH5KaFtaxj-3",The fastest way to build Web3 apps.,"thirdweb is a complete web3 development framework that provides everything you need to build, launch, and manage web3 apps. We provide dev tools (SDKs in common languages, plug-and-play UI components, ContractKit) and fully managed infrastructure services (storage, RPC nodes, onchain analytics, and more) to enable you to go-to-market faster.",https://thirdweb.com/,https://twitter.com/thirdweb,https://discord.gg/thirdweb,ThirdWeb,No,https://drive.google.com/file/d/1Wp0WLyGGehYhTndVxBTK2z2R6VOgHUud/view?usp=drive_link,No,,Infrastructure,,,,
Volmex,3,Ready for Mainnet,Armand Khatri,DeFi - Options,https://drive.google.com/open?id=1EjLBzZHkPHLrjp_AU0ALihypiERMjrF9,"Leading crypto volatility indices, BVIV and EVIV Indices, and linked volatility products, such as perpetual futures","Volmex’s BVIV and EVIV Indices measure the 30-day expected volatility of Bitcoin and Ethereum respectively. Volmex builds a suite of products around the Volmex Implied Volatility Indices, specifically perpetual futures.",https://volmex.finance/,https://twitter.com/ColeGotTweets,https://discord.gg/volmex,Volmex,No,https://drive.google.com/open?id=1EjLBzZHkPHLrjp_AU0ALihypiERMjrF9,No,Yes,DeFi,,,,
Wormhole,3,Ready for Mainnet,Armand Khatri,Bridge,https://drive.google.com/open?id=1b3bpk2OCqxDAWKmgrhHdseq9Pq2ejnJC,The best way to build cross-chain,Wormhole is a generic cross-chain message-passing protocol that gives developers the power to build decentralized applications that span the rapidly evolving blockchain ecosystem.,https://wormhole.com,https://twitter.com/wormholecrypto,https://discord.gg/wormholecrypto,Wormhole,https://drive.google.com/file/d/1fsjP_vovj0MhrA_hy0mQtC_A_Y3MGOJP/view?usp=sharing,,No,,Bridge,,,Approved,
XMTP,3,Initiated,Armand Khatri,Identity,https://drive.google.com/open?id=1ncILKSnZ1TvXk0Y0-SBbnk_7eoIZXw7r,web3 messaging network,"A decentralized communication protocol for secure and private messaging. 

- XMTP does notifications, DMs, 1:many broadcast messages, and soon group chats across web3 wallets and applications.
- Over 400+ developers building with XMTP today.
- XMTP is the messaging layer for Lens apps.
- XMTP provides messaging within the Coinbase Wallet.",https://xmtp.org/,@xmtp_,https://discord.gg/hzrkyYxT,XMTP,No,https://drive.google.com/file/d/1mywuICRWBOhRDvw2LUtUFVgGRnvWcnBr/view?usp=sharing,No,Yes,Identity,,,,
Animoca Brands,1,,,Gaming,,We aim to deliver #DigitalPropertyRights to the world's gamers & Internet users,"Animoca Brands and its various subsidiaries develop and publish a broad portfolio of blockchain games, traditional games, and other products",https://www.animocabrands.com/,https://twitter.com/animocabrands,,Animoca Brands,,https://drive.google.com/file/d/1izUjzBgQyxDBATyWlP3_5H7BYO9ZfoTu/view?usp=sharing,,,Gaming,,,,
Parallel,1,,,Gaming,,Parallel is a Sci-Fi world and Card Game. //,Parallel is a vast sci-fi universe with five factions battling for home. Assemble a deck and take the fight to Earth.,https://parallel.life/,https://twitter.com/ParallelTCG,,Parallel,https://drive.google.com/file/d/12u2akoYQS1wJ7mKClFYU5G_TM2Gu_tXY/view?usp=sharing,,,,Gaming,,,,
0x,1,Ready for Mainnet,Armand Khatri,DeFi - Swap,https://drive.google.com/open?id=1tbrCh_k-jEzgdhopDiMQVEiT3-oRFVhH,Connecting developers to Web3 markets,"Your one stop shop to build financial products on crypto rails. Enable faster trading, better prices and superior UX in your app.",https://0x.org/,https://twitter.com/0xProject,,0x,,https://drive.google.com/file/d/1kNlE5AYUKrS3hebUArT6oGAX_OED77vC/view?usp=sharing,,,DeFi,,,,
Amberdata,3,Initiated,Daryl Xu,Infrastructure Other,"https://drive.google.com/open?id=1z8cgvih75MLt8zVkB4EN3_wy-IQ00f7O, https://drive.google.com/open?id=19FwRe4Q7yb9SS6eZQklsVE4BAh7S7z-f, https://drive.google.com/open?id=1Pf2QMWf9XGRToLKbK8yvaDipDchaW8Q3, https://drive.google.com/open?id=1YGLjsDETFB8uzvdDLH2G9DCjYXHhTlj4",Your Lens Into the Entire Cryptoeconomy,"Amberdata delivers comprehensive digital asset data and insights into blockchain networks, crypto markets, and decentralized finance, empowering financial institutions with critical data for research, trading, risk, analytics, reporting, and compliance.",https://amberdata.io,https://twitter.com/Amberdataio,Not Applicable,Amberdata,,https://drive.google.com/file/d/1BrPpnGm0907ASc30VsEz75Z1nMb4AH3T/view?usp=drive_link,,,Infrastructure,,,,
Balancer,3,Ready for Mainnet,Gavynn Arteaga,DeFi - Swap,https://drive.google.com/open?id=1FLcRli7NJ3JEmgFdx9r6D1e0q4CRE-Tc,Build Better.,"Balancer is a decentralized automated market maker (AMM) protocol built on Ethereum that represents a flexible building block for programmable liquidity.

By separating the AMM curve logic and math from the core swapping functionality, Balancer becomes an extensible AMM that can incorporate any number of swap curves and pool types.",https://balancer.fi/,https://twitter.com/Balancer,https://t.co/6n6NoFwOQ5,Balancer,,https://drive.google.com/file/d/1FLcRli7NJ3JEmgFdx9r6D1e0q4CRE-Tc/view,,Yes,DeFi,,,,
Beam,2,Ready for Mainnet,Daryl Xu,Wallet,https://drive.google.com/open?id=1ubjgNaLJGQfG_VMwvBrbVI68Ov3F7-r1,"The easiest wallet ever — no app, no signup.",Beam is a self-custody payments wallet for the mainstream — no download or signup required. It's the easiest way on the planet to send money. Beam works with USDC and ECO (eco.com).,https://beam.eco,https://twitter.com/eco,,Beam,,https://drive.google.com/file/d/1ubjgNaLJGQfG_VMwvBrbVI68Ov3F7-r1/view?usp=drive_link,,Yes,Wallet,,,,
Biconomy,2,Ready for Mainnet,Daryl Xu,Infrastructure Other,https://drive.google.com/open?id=1V7vuvOQNutQMB-2E5mlA8hX_rORpU9jq,The ultimate toolkit to leverage smart contract wallets & build custom transaction journeys,"Biconomy brings blockchain-agnostic, web2-like experiences to dApps in a non-custodial manner with our comprehensive software development kit which is built on top of ERC4337 and designed specifically for decentralized applications (dApps).",https://www.biconomy.io/,https://twitter.com/biconomy,https://discord.com/invite/biconomy,Biconomy,,https://drive.google.com/file/d/1V7vuvOQNutQMB-2E5mlA8hX_rORpU9jq/view?usp=drive_link,,,Infrastructure,,,,
Blast by Bware Labs,2,(Closed Won) Deployed to Mainnet,Gavynn Arteaga,Infrastructure - Node / RPC,"https://drive.google.com/open?id=1WnTshYMTaksl4pIDKFAzJyqhA9wgzkXK, https://drive.google.com/open?id=1rlSi9dSY5qnYfQsrgriXR6-1TpzDPLMP",Decentralized Web3 Infrastructure for Everyone,Blast is a decentralized API platform with best-in-class response times and availability. It leverages the power of hundreds of node providers and advanced routing algorithms for unmatched service quality!,https://blastapi.io/,https://twitter.com/BlastAPI,https://discord.gg/bwarelabs,Blast_by_Bware_Labs,,https://drive.google.com/file/d/1zmHaYYIvB04gUSahkBKypa7cVUqIXRFm/view?usp=drive_link,,,Infrastructure,,,,
Blockscout,1,(Closed Won) Deployed to Mainnet,Viktoriya Hying,Infrastructure - Block Explorer,https://drive.google.com/open?id=12jI7sQDLUk6OliYsC9CA9wQWgPAkoTa2,"Explore your transactions, balances, and smart contracts","Blockscout is a comprehensive open-source tool for viewing blockchain data, including transactions, addresses, and contracts. Plus, it offers easy-to-use APIs.",https://www.blockscout.com/,https://twitter.com/blockscoutcom,https://discord.com/invite/blockscout,Blockscout,,https://drive.google.com/file/d/12jI7sQDLUk6OliYsC9CA9wQWgPAkoTa2/view?usp=sharing,,Yes,Infrastructure,,,,
Brave,2,Deployment in Progress,Daryl Xu,Crypto Wallet,https://drive.google.com/open?id=1WTEfpRgqS-XpVyl4aGErtuiS1mwOTczI,Browse privately and earn for your attention,"Brave is on a mission to protect your privacy online. We make a suite of internet privacy tools—including our browser and search engine—that shield you from the ads, trackers, and other creepy stuff trying to follow you across the web.",https://brave.com,twitter.com/brave,,Brave,,https://drive.google.com/file/d/1WTEfpRgqS-XpVyl4aGErtuiS1mwOTczI/view?usp=sharing,,,Wallet,,,,
Bridge,3,Deployment in Progress,Daryl Xu,DeFi - Stablecoin / Flatcoin,https://drive.google.com/open?id=1cX4z2ROwS3gqY-nIaZoF7M_GIJCtjLz4,Stablecoin orchestration and issuance APIs,"APIs to move into, out of, and between any form of a dollar.",https://bridge.xyz,@zcabrams,,Bridge,,https://drive.google.com/file/d/1cX4z2ROwS3gqY-nIaZoF7M_GIJCtjLz4/view?usp=sharing,,,DeFi,,,,
Bungee,3,Deployment in Progress,Armand Khatri,Bridge,"https://drive.google.com/open?id=1Jlc11RNre2SCaOARlhB1cPTsVacuKcJT, https://drive.google.com/open?id=1tRlqmLwFpnkcbz6yrH1F8upGUyGS4t4l",Make the Jump & explore your favorite chains!,Bungee integrates bridges & DEXs to help you find the best route across 13+ chains.,https://Bungee.Exchange,https://twitter.com/BungeeExchange,https://discord.gg/socket,Bungee,,https://drive.google.com/file/d/1tRlqmLwFpnkcbz6yrH1F8upGUyGS4t4l/view?usp=sharing,,,Bridge,,,,
ChainSafe Gaming,2,Initiated,Viktoriya Hying,Gaming,"https://drive.google.com/open?id=116EcUM4pNg7OceMsAFnk06CpNUi9MJud, https://drive.google.com/open?id=1NlULOUgZzcme9VR5iBZDQk-XMHh6TDs6","The world’s only decentralized gaming toolkit, custom-built for developers.","We empower creators. From digital collectibles to in-game assets, incentive mechanisms, and everything in between, change how your players own, create, and get rewarded with ChainSafe Gaming.",https://gaming.chainsafe.io/,https://twitter.com/ChainSafeGaming,https://discord.com/invite/n2U6x9c,ChainSafe_Gaming,,https://drive.google.com/file/d/1-edeOKnfI4V7QaG8ATye0oZ9NB4m4AUY/view?usp=sharing,Requires resize from partner,,Gaming,,,,
DefiLlama,1,Ready for Mainnet,Gavynn Arteaga,Infrastructure - Analytics,https://drive.google.com/open?id=14fcwiVjmd28GtL6shqaCRry4wKRbdIEX,Open-Source and transparent DeFi Tracking,DefiLlama is the largest TVL aggregator for DeFi (Decentralized Finance). We are fully open-source and our focus is on accurate data and transparent methodology,https://defillama.com/,https://twitter.com/DefiLlama,https://discord.defillama.com/,DefiLlama,,https://drive.google.com/file/d/14fcwiVjmd28GtL6shqaCRry4wKRbdIEX/view?usp=sharing,,,Infrastructure,,,,
DeForm,1,Ready for Mainnet,Daryl Xu,Infrastructure Other,https://drive.google.com/open?id=1UMWNj5-iGb6ew8dzPLxDk24DSSLzWqDO,"Create web3 allowlists, forms, applications, and more!","DeForm is the most beautiful and easiest to use web3 form builder. Get verified wallet addresses, onchain data lookups, Twitter/Discord/Telegram accounts, and talk to your community!",https://deform.cc/,https://twitter.com/deformapp,https://discord.gg/NqeWdJ2YC5,DeForm,,https://drive.google.com/file/d/1UMWNj5-iGb6ew8dzPLxDk24DSSLzWqDO/view?usp=sharing,,Yes,Infrastructure,,,,
Exodus,2,Ready for Mainnet,Daryl Xu,Wallet,https://drive.google.com/open?id=1fzSznX3vNXcPSLyAX3mrFNbqG6X0uan6,"Secure, stake, and exchange Bitcoin, Ethereum, Solana, +100 more and store NFTs.","Exodus lets users secure, manage, and swap cryptocurrencies like Bitcoin, Ethereum, & more across 10,000+ asset pairs from a beautiful, easy-to-use wallet. Available for desktop, mobile, and browser.",https://www.exodus.com/,https://twitter.com/exodus_io,http://discord.gg/exodus,Exodus,,https://drive.google.com/file/d/1fzSznX3vNXcPSLyAX3mrFNbqG6X0uan6/view?usp=sharing,,,Wallet,,,,
Extra Finance,3,Deployment in Progress,Saemi Kim,DeFi - Yield Aggregator,"https://drive.google.com/open?id=1kCduF_TgG9NmGs1EUxWoCaJ_yLHHRNfA, https://drive.google.com/open?id=162fiPC_Ezo74N_L33e8DqcTNpJk-s-47","Farm Extra, Harvest More",Extra Finance is a leveraged yield strategy & lending protocol.,https://app.extrafi.io/,https://twitter.com/extrafi_io,https://discord.com/invite/extra-finance,Extra_Finance,,https://drive.google.com/file/d/1JWTM8DUp9T0aXP1X2CUurBCU8jA67ffC/view?usp=sharing,,,DeFi,,,,
Fireblocks,1,Ready for Mainnet,Daryl Xu,Infrastructure Other,"https://drive.google.com/open?id=15ycw9V65pZ4-7iRoRp32ra2IbC6z8ESJ, https://drive.google.com/open?id=17qt-V17vPDuHqA92EIcFCFtF7EHTpeDf",The simplest and most secure way to work with digital assets.,Fireblocks provides a suite of applications to manage digital asset operations and a complete development platform to build your business on the blockchain.,https://www.fireblocks.com/,https://twitter.com/FireblocksHQ,N/A,Fireblocks,,https://drive.google.com/file/d/1pchkGzb9FcJlctBDjB6diWmSPxhqgj4f/view?usp=sharing,,,Infrastructure,,,,
Flipside,1,(Closed Won) Deployed to Mainnet,Gavynn Arteaga,Infrastructure - Analytics,https://drive.google.com/open?id=1Om6zdUdISiH5oelzAuNbeKop3R7OFRIx,Access the industry's most reliable blockchain data,"Builders, investors an analysts can unlock Web3 success with Flipside's trusted blockchain data and expert insights. Grow with governance, acquisition tools, business intelligence and analytics.",https://flipsidecrypto.xyz/,https://twitter.com/flipsidecrypto,https://discord.com/gg/Flipside,Flipside,,https://drive.google.com/file/d/1Om6zdUdISiH5oelzAuNbeKop3R7OFRIx/view?usp=sharing,,Yes,Infrastructure,,,,
GangstaVerse,2,Initiated,Daryl Xu,Gaming,https://drive.google.com/open?id=1TmX2uYxeOyLgwlyV_eA4OwU0Q8AuuM9L,War between Gangsters and Detectives,GangstaVerse is a multi-chain RPG that combines digital art and web3 game ecosystem. GangWar is a semi-passive simulation-based game where gangsters and detectives fight to establish power in the city.,https://war.gangstaverse.co/,https://twitter.com/GangstaVerse,https://discord.com/invite/rkJBeAgQux,GangstaVerse,,https://drive.google.com/file/d/1vv8ABXL_INJ8WDcB6jMj-z0ypgFxYwjL/view?usp=sharing,,,Gaming,,,,
Go-Go-Glover,2,Ready for Mainnet,Daryl Xu,,https://drive.google.com/open?id=1Kqp4-K1VjHe5bE9KILYQD_c4BzJwTVFT,An Endless Adventure Reviving the Acclaimed Glover Universe!,"""Dive into the Glover universe in a thrilling endless runner! Dodge obstacles, collect magic crystals, and relive the N64 magic on mobile!""",https://go-go-glover.com,https://twitter.com/StrattonStudios,,Go_Go_Glover,,https://drive.google.com/open?id=1Kqp4-K1VjHe5bE9KILYQD_c4BzJwTVFT,,,Gaming,,,,
Guild,2,Ready for Mainnet,Viktoriya Hying,NFT - Marketplace,https://drive.google.com/open?id=10hDQ7Uzi8_K-O4KzGh1vaUNuGTp8Ayo0,Homepage of your community,"Guild is an automation platform for onboarding Web3 communities, it can identify NFT holders, active developers, social media influencers and any other custom categories of community members based on their Guild account.",https://guild.xyz,https://twitter.com/guildxyz,,Guild,,https://drive.google.com/file/d/10hDQ7Uzi8_K-O4KzGh1vaUNuGTp8Ayo0/view?usp=sharing,,,NFT,,,,
LayerZero,2,(Closed Won) Deployed to Mainnet,Armand Khatri,Bridge,https://drive.google.com/open?id=1GY_AJ-9uOlOl1FL9YrzZkInH34lqYwEd,Omnichain interoperability protocol,LayerZero is the leading blockchain messaging protocol. LayerZero's advanced messaging infrastructure seamlessly connects over 30 blockchains and facilitates transparent and secure cross-chain messaging from one easy-to-use interface.,https://layerzero.network/,https://twitter.com/LayerZero_Labs,https://discord-layerzero.netlify.app/discord,LayerZero,,https://drive.google.com/file/d/1GY_AJ-9uOlOl1FL9YrzZkInH34lqYwEd/view?usp=sharing,,,Bridge,,,,
Onramp Money,2,Ready for Mainnet,Daryl Xu,Onramp,"https://drive.google.com/open?id=1xMoW8TiTbilWy2RnMn0o_XUGwZOt1yo-, https://drive.google.com/open?id=1avEM1KMtr7APK_kK9ZFguoEMhHrUg9M-",Fastest way to convert Fiat-to-Web3 Money,Onramp.money is a convenient & secure way to convert your FIAT to Web3 money in <60s! We allow your users to buy & sell digital assets with lowest processing fees. Onramp.money can be easily integrated with your global decentralized application (dApp) to smoothly onboard users to purchase multiple digital assets across chains.,https://onramp.money/,https://twitter.com/onrampmoney,,Onramp_Money,,https://drive.google.com/file/d/1_FSnyaSghxuOFxXGoDeVVU_hq5xue8bT/view?usp=drive_link,,Yes,Onramp,,,,
Pike,2,Deployment in Progress,Armand Khatri,DeFi Other,"https://drive.google.com/open?id=16Y3XLIgLBCaI5pT02Jnoed_7MGVs4sZq, https://drive.google.com/open?id=1ekEBS3JYgLWnHpwKd6h-mNID1ATTn-AB, https://drive.google.com/open?id=17VfFtIbRYW_J2c5XVeSiHewhIw1wOgIn","Lend, borrow and earn native crypto assets","Pike is a Universal Liquidity Protocol, it is designed to unleash utility for native crypto assets by aggregating liquidity across blockchain networks.

Pike’s vision is to become a universal liquidity layer that enables frictionless movement and accessibility of native assets across ecosystems. Pike is built on top of Wormhole’s Cross-Chain Data Messaging and Circle’s Cross-Chain Transfer Protocol (CCTP).

One fundamental primitive of Pike is to enable users to supply native crypto assets on source chains and borrow native crypto assets on destination chains without interacting with cross-chain bridges and handling wrapped assets.",https://pike.finance,https://twitter.com/PikeFinance,https://discord.com/invite/yUmg8QC37U,Pike,,https://drive.google.com/file/d/16Y3XLIgLBCaI5pT02Jnoed_7MGVs4sZq/view?usp=sharing,,Yes,DeFi,,,,
PoolTogether,3,Deployment in Progress,Saemi Kim,DeFi - Yield Aggregator,https://drive.google.com/open?id=1dmzZZTPHHXEYuXDWO0E3vHSbYzxIX06x,Deposit tokens and win prizes!,"PoolTogether is a prize savings protocol that makes saving fun! Deposit into PoolTogether vaults to be eligible to win prizes every day. Prizes are generated by the yield on deposits, and you can deposit all kinds of tokens!",https://pooltogether.com,https://twitter.com/poolTogether_,https://discord.gg/AyKfVB4Pak,PoolTogether,,https://drive.google.com/file/d/1dmzZZTPHHXEYuXDWO0E3vHSbYzxIX06x/view?usp=sharing,,Yes,DeFi,,,,
Privy,2,Ready for Mainnet,Daryl Xu,Onramp,https://drive.google.com/open?id=1UweG0hGk2vJRN9it2_2zg6JsLusZlDBR,The easiest way to onboard all your users to web3,"Privy is a simple library to onboard all your users to web3, with embedded wallets for web3 newcomers, reliable connectors for web3 natives, and powerful user management.",https://www.privy.io/,https://twitter.com/privy_io,,Privy,,https://drive.google.com/file/d/169xTOO86YJdJOykBTApGlgx6JQt-KKyd/view?usp=sharing,,,Onramp,,,,
Quicknode,1,(Closed Won) Deployed to Mainnet,Gavynn Arteaga,Infrastructure - Node / RPC,https://drive.google.com/open?id=1t5hr6ipCN80IZSeAVO3HQsEYpC0iKbr7,The Blockchain Development Platform,"As the leading end-to-end web3 developer platform, QuickNode is transforming blockchain infrastructure and tooling by simplifying web3 development and providing high-performance access to 24+ blockchains. Since 2017, QuickNode has empowered hundreds of thousands of top developers and companies to focus on innovation by accelerating dApp build times and offering enterprise-grade solutions to businesses of every size.",https://www.quicknode.com/,https://twitter.com/QuickNode,https://discord.gg/quicknode,Quicknode,,https://drive.google.com/file/d/1t5hr6ipCN80IZSeAVO3HQsEYpC0iKbr7/view?usp=sharing,,,Infrastructure,,,,
Rabby Wallet,2,Deployment in Progress,Armand Khatri,Crypto Wallet,https://drive.google.com/open?id=1m8wyqFIKJfLj8vLdtvgML3tA9dFRcHm2,The game-changing wallet for Ethereum and all EVM chains,https://chrome.google.com/webstore/detail/rabby-wallet/acmacodkjbdgmoleebolmdjonilkdbch,https://rabby.io,https://twitter.com/Rabby_io,https://discord.com/invite/seFBCWmUre,Rabby_Wallet,,https://drive.google.com/file/d/1m8wyqFIKJfLj8vLdtvgML3tA9dFRcHm2/view?usp=sharing,,,Wallet,,,,
Reservoir,3,Deployment in Progress,Viktoriya Hying,NFT - Marketplace,"https://drive.google.com/open?id=1U6QX23iaFqAvkkvV-dJK2rpH-41f5oC6, https://drive.google.com/open?id=1rx4QVWidDy1giUfbifvJN6qZ8zN8oBRK",NFT Trading Infrastructure • Build buying & selling into your app,"The most powerful tools to build buying & selling into your app - access NFT data, create, store, and fill NFT orders.",https://reservoir.tools/,https://twitter.com/reservoir0x,https://discord.gg/T4MqhUzdxn,Reservoir,,https://drive.google.com/file/d/11XG2hzaJ-8VA_6jesO0sVEMASiiKADFu/view?usp=sharing,,,NFT,,,,
rhino.fi,2,Deployment in Progress,Armand Khatri,DeFi Other,"https://drive.google.com/open?id=1d9RC8RLlUvaIbLRHPHgdi9Xoj3BNEbin, https://drive.google.com/open?id=1rz3a2EauDm8A6wU2f2-0CsOkOarQXJk1",Seamless DeFi bridge and yield aggregator,"Unlock secure, self-custodial DeFi with rhino.fi - The Layer 2 DeFi aggregator. Explore 500+ tokens across 9 chains. Bridge, swap, stake, farm all in one place.",https://app.rhino.fi/bridge?token=ETH,https://twitter.com/rhinofi,https://discord.gg/ES27QxFWmF,Rhino_Fi,,https://drive.google.com/file/d/1d9RC8RLlUvaIbLRHPHgdi9Xoj3BNEbin/view?usp=sharing,Requires resize from partner,,DeFi,,,,
Satsuma,3,(Closed Won) Deployed to Mainnet,Gavynn Arteaga,Infrastructure Other,"https://drive.google.com/open?id=11l51NIqfaHFIew91Beapi3CMDU5lBQvB, https://drive.google.com/open?id=1z7cxbGBN78V53i7VjvwSN1Ek8jX0XxNr, https://drive.google.com/open?id=1XHKigRV30ACDPYbcod9gjZCOMjczMdI2, https://drive.google.com/open?id=1uyBs3BUYWe24dKCU1XIEnKCbqxeOEKov",Reliable Subgraph & Blockchain Indexing For Web3 Teams,"Save months of development time with our hosted subgraph indexing. Instead of focusing on backend development and devops, write a subgraph in < 1 hr and get a custom GraphQL API for your dApp.

Projects like Decentraland, Aragon, and Treasure use Satsuma for our 99.9% uptime, up to 5x+ faster indexing, and comprehensive developer tooling.",https://www.satsuma.xyz/,https://twitter.com/satsumaxyz,,Satsuma,,https://drive.google.com/file/d/11l51NIqfaHFIew91Beapi3CMDU5lBQvB/view?usp=sharing,,,Infrastructure,,,,
Sequence,2,Ready for Mainnet,Daryl Xu,Wallet,https://drive.google.com/open?id=1TxgOPpzstSF4mAgQ7iDc8wy2UrX82lKi,Build web3 games + apps with ease.,Sequence is the all-in-one developer platform + smart wallet that makes building web3 games and applications easy.,https://sequence.xyz/,https://twitter.com/0xsequence,https://discord.com/invite/sequence,Sequence,,https://drive.google.com/file/d/1zERyzdkETTySCF4-Osub4IDzf5ZJ44RW/view?usp=drive_link,,Yes,Wallet,,,,
Snaky Cat,2,Ready for Mainnet,Daryl Xu,GameFi,https://drive.google.com/open?id=1ZcSUob5VJV7wFoJnE6WXmkSCTtSDMIH0,Rule as the longest cat and earn tokens!,"Control a unique feline with a snake-like body, feast on food to stretch and grow. Outmaneuver other cats, seize their remains, become the longest cat and slither up the leaderboard, scoring purr-ecious tokens!",https://snakycat.io,https://twitter.com/appxplore,N/A,Snaky_Cat,,https://drive.google.com/file/d/1ZcSUob5VJV7wFoJnE6WXmkSCTtSDMIH0/view?usp=sharing,,,Gaming,,,,
Spearbit,2,Ready for Mainnet,Saemi Kim,Infrastructure - Security,"https://drive.google.com/open?id=1iZTbIY-XvLxIG_2Evha07I8h_88iXjhZ, https://drive.google.com/open?id=1qqu_Fvbgytbg1nrZaZ08WX487M41eI9Z",A distributed network of top web3 security talent,"Spearbit is a global distributed network of industry-leading security experts that offer web3 security review and consulting services. Spearbit operates as a web3 smart contract security solutions firm with clients such as Polygon, OpenSea, Gauntlet, Optimism and many other mission-critical protocols across the web3 landscape.",https://spearbit.com/,https://twitter.com/SpearbitDAO,N/A (Private Invites Only),Spearbit,,https://drive.google.com/file/d/1qYWpGYVA-hLPPz3-VE0PHCGBaAeI6Z8F/view?usp=sharing,,,Infrastructure,,,,
Superfluid,3,(Closed Won) Deployed to Mainnet,Armand Khatri,,https://drive.google.com/open?id=1NAhOoHJNJoalOlooN-7qUUtkr8Ylia8a,Programmable cashflows for real-time money streaming,"Superfluid is the industry-leading revolutionary asset streaming protocol that brings real-time subscriptions, salaries, vesting, and rewards to DAOs and crypto-native businesses worldwide.",https://www.superfluid.finance/,https://twitter.com/Superfluid_HQ,https://discord.gg/pPzPEDMVua,Superfliud,,https://drive.google.com/file/d/1NAhOoHJNJoalOlooN-7qUUtkr8Ylia8a/view?usp=sharing,,Yes,Infrastructure,,,,
